time,level,latitude,longitude,co_conc,no2_conc,o3_conc,pm10_conc,pm2p5_conc
10 days 15:00:00,0.0,48.95,2.45,191.31715,22.651684,51.06421,9.302135,4.5411925
10 days 15:00:00,0.0,48.85,2.15,170.70619,11.511852,61.284798,8.758087,4.4646244
10 days 15:00:00,0.0,48.85,2.25,189.94154,18.335876,55.589443,9.50734,4.761844
10 days 15:00:00,0.0,48.85,2.35,197.97102,23.611216,51.18215,9.728632,5.1923904
10 days 15:00:00,0.0,48.85,2.45,189.68712,23.63995,50.96854,8.569594,4.627239
10 days 15:00:00,0.0,48.75,2.15,165.13872,9.612372,61.166336,8.849946,4.5266404
10 days 15:00:00,0.0,48.75,2.25,168.29057,12.129044,59.004894,8.534437,4.5230026
10 days 15:00:00,0.0,48.75,2.35,186.0521,18.164507,55.84276,8.772071,4.575753
10 days 15:00:00,0.0,48.75,2.45,176.84505,17.663973,54.54331,8.0588,4.219231
10 days 15:00:00,50.0,48.95,2.15,157.15393,7.584787,66.79363,7.8964605,4.2673492
10 days 15:00:00,50.0,48.95,2.25,168.9046,13.8399935,64.25439,8.168627,4.3607144
10 days 15:00:00,50.0,48.95,2.35,174.72719,16.727995,59.612263,8.334893,4.0527086
10 days 15:00:00,50.0,48.95,2.45,178.7642,17.753847,55.9293,8.420102,3.9672158
10 days 15:00:00,50.0,48.85,2.15,155.65587,7.5621066,64.80103,7.7841663,4.2036843
10 days 15:00:00,50.0,48.85,2.25,170.85262,13.390959,62.13444,7.934943,4.105459
10 days 15:00:00,50.0,48.85,2.35,174.5263,17.413866,58.513165,8.08987,4.0217857
10 days 15:00:00,50.0,48.85,2.45,169.96495,17.786163,57.07254,8.187328,3.9399312
10 days 15:00:00,50.0,48.75,2.15,152.63249,6.2558804,66.997765,7.556764,4.134563
10 days 15:00:00,50.0,48.75,2.25,154.85927,7.8530526,65.93854,7.5166893,4.047251
10 days 15:00:00,50.0,48.75,2.35,155.8413,11.143782,63.61391,7.8074436,3.972673
10 days 15:00:00,50.0,48.75,2.45,159.88855,12.535053,61.006516,7.9147353,3.8944564
11 days 15:00:00,0.0,48.95,2.15,191.92703,16.714235,45.930405,8.849146,6.1658764
11 days 15:00:00,0.0,48.95,2.25,200.58473,21.136143,44.66614,8.836256,6.2129426
11 days 15:00:00,0.0,48.95,2.35,204.15495,22.566473,42.915344,8.84528,6.4300346
11 days 15:00:00,0.0,48.95,2.45,201.94057,22.619963,41.127205,8.9676075,5.6497808
11 days 15:00:00,0.0,48.85,2.15,194.53409,18.83802,44.659008,8.568296,5.641467
11 days 15:00:00,0.0,48.85,2.25,206.4703,26.685766,41.292316,9.761326,6.835435
11 days 15:00:00,0.0,48.85,2.35,220.29872,29.587616,38.52338,11.623971,7.3748717
11 days 15:00:00,0.0,48.85,2.45,220.29872,31.33744,36.729595,10.320921,6.6306067
11 days 15:00:00,0.0,48.75,2.15,195.66641,17.154886,47.718075,8.069481,5.447148
11 days 15:00:00,0.0,48.75,2.25,204.45328,20.906324,43.985153,9.178268,5.6858335
11 days 15:00:00,0.0,48.75,2.35,210.94025,27.309437,38.468723,10.3552685,6.639282
11 days 15:00:00,0.0,48.75,2.45,216.96088,29.073729,38.19565,10.21272,6.61884
11 days 15:00:00,50.0,48.95,2.15,183.7993,14.009293,50.030254,8.454236,6.7615957
11 days 15:00:00,50.0,48.95,2.25,191.69984,16.540068,48.05361,8.457007,6.48393
11 days 15:00:00,50.0,48.95,2.35,190.45474,18.921125,46.730255,8.515528,6.27243
11 days 15:00:00,50.0,48.95,2.45,186.47627,20.510921,45.56261,8.517035,5.902621
11 days 15:00:00,50.0,48.85,2.15,185.33247,16.7089,49.480145,8.540837,6.6277866
11 days 15:00:00,50.0,48.85,2.25,198.43033,19.779226,46.23644,9.567955,6.55929
11 days 15:00:00,50.0,48.85,2.35,208.55733,21.788769,40.670624,9.948678,7.661228
11 days 15:00:00,50.0,48.85,2.45,207.38351,23.884174,41.127197,9.987417,7.055505
